carat,cut,color,clarity,depth,table,price,x,y,z
0.71,"Very Good","G","VS2",61.8,56,2647,5.69,5.74,3.53
0.72,"Good","F","IF",63.1,56,2647,5.67,5.68,3.58
0.86,"Good","G","IF",63.2,53,2647,6.06,6.1,3.84
0.72,"Ideal","D","IF",62.7,55,2647,5.7,5.72,3.58
0.72,"Good","F","IF",63.4,58,2647,5.66,5.69,3.6
0.93,"Premium","E","IF",62.3,60,2647,6.23,6.2,3.87
0.74,"Premium","F","IF",61.4,59,2648,5.81,5.82,3.57
0.7,"Premium","G","VVS1",62.6,58,2648,5.64,5.61,3.52
0.7,"Premium","G","VVS1",60.6,62,2648,5.68,5.64,3.43
0.7,"Premium","G","VVS1",62.2,57,2648,5.69,5.66,3.53
0.7,"Premium","F","VS2",63,61,2648,5.64,5.59,3.54
0.7,"Premium","F","VS2",62.5,56,2648,5.67,5.63,3.53
0.7,"Premium","F","VS2",62.2,59,2648,5.68,5.64,3.52
0.7,"Premium","F","VS2",60.5,58,2648,5.78,5.76,3.49
0.82,"Premium","I","VS2",62.6,59,2648,5.91,5.87,3.69
0.66,"Ideal","F","VS2",62.4,54,2648,5.55,5.61,3.48
0.7,"Ideal","H","VVS1",62,59,2648,5.68,5.71,3.53
0.75,"Fair","F","VS2",65.4,58,2648,5.63,5.68,3.7
0.71,"Very Good","G","VS2",62.1,58,2649,5.69,5.77,3.56
0.81,"Very Good","G","IF",62.7,56,2649,5.91,5.96,3.72
0.79,"Very Good","H","IF",63.4,57,2649,5.86,5.9,3.73
0.71,"Ideal","G","IF",61.6,56,2649,5.73,5.76,3.54
0.71,"Good","G","VS2",58.9,61,2649,5.81,5.84,3.43
0.8,"Good","G","IF",63.9,57,2650,5.84,5.81,3.72
0.72,"Ideal","I","VS2",61.7,56,2650,5.75,5.8,3.56
0.3,"Good","D","IF",63.1,55,552,4.28,4.31,2.71
0.3,"Ideal","D","IF",62.2,56,552,4.25,4.3,2.66
0.3,"Very Good","D","IF",62.6,56,552,4.24,4.29,2.67
0.3,"Premium","D","IF",62,60,552,4.26,4.29,2.65
0.3,"Premium","D","IF",62.4,60,552,4.23,4.26,2.65
0.3,"Premium","I","VVS1",62.6,60,552,4.25,4.28,2.67
0.3,"Very Good","D","IF",62.5,59,552,4.26,4.28,2.67
0.3,"Ideal","D","IF",62.1,54,552,4.31,4.35,2.69
0.3,"Very Good","D","IF",61,60,552,4.3,4.35,2.64
0.35,"Good","H","VS2",63.7,57,552,4.48,4.53,2.87
0.3,"Premium","D","IF",62.3,58,552,4.28,4.32,2.68
0.3,"Good","D","IF",63.3,55,552,4.28,4.31,2.72
0.3,"Ideal","I","VVS1",61.9,57,552,4.31,4.35,2.68
0.3,"Good","D","IF",63.3,59,552,4.22,4.25,2.68
0.3,"Very Good","I","VVS1",60.5,60,552,4.32,4.34,2.62
0.3,"Ideal","D","IF",61.4,55,552,4.29,4.34,2.65
0.3,"Good","I","VVS1",63.8,56,552,4.23,4.26,2.71
0.3,"Ideal","D","IF",61.7,56,552,4.31,4.35,2.67
0.3,"Very Good","I","VVS1",61.2,60,552,4.27,4.29,2.62
0.3,"Ideal","D","IF",61.4,56,552,4.32,4.35,2.66
0.3,"Very Good","I","VVS1",62.8,59,552,4.24,4.29,2.68
0.3,"Ideal","I","VVS1",61.3,57,552,4.31,4.34,2.65
0.3,"Ideal","D","IF",62.2,55,552,4.29,4.33,2.68
0.3,"Premium","D","IF",61.6,58,552,4.29,4.32,2.65
0.3,"Premium","D","IF",62.5,58,552,4.27,4.31,2.68
0.3,"Ideal","I","VVS1",62.3,55,552,4.28,4.29,2.67
0.3,"Good","D","IF",63.4,56,552,4.26,4.29,2.71
0.3,"Very Good","D","IF",62.3,59,552,4.22,4.25,2.64
0.3,"Premium","D","IF",62.7,60,552,4.23,4.26,2.66
0.3,"Very Good","I","VVS1",62.5,60,552,4.24,4.27,2.66
0.72,"Ideal","I","VS2",61.8,55,2650,5.75,5.78,3.56
0.72,"Ideal","I","VS2",61.2,57,2650,5.75,5.79,3.53
0.72,"Ideal","I","VS2",61.7,56,2650,5.73,5.78,3.55
0.72,"Ideal","I","VS2",61.8,56,2650,5.72,5.77,3.56
0.71,"Ideal","G","IF",62.1,56,2650,5.69,5.74,3.55
0.72,"Ideal","F","IF",61.9,54.1,2651,5.73,5.83,3.57
0.72,"Very Good","E","IF",60.1,55.8,2651,5.83,5.85,3.51
0.71,"Ideal","E","IF",62.9,57,2651,5.67,5.72,3.58
0.71,"Good","E","IF",59.2,61,2651,5.8,5.85,3.45
0.76,"Very Good","G","IF",62.6,56,2652,5.86,5.9,3.68
0.8,"Very Good","F","IF",61.5,56,2652,5.93,5.98,3.66
0.71,"Very Good","D","IF",63.2,56,2652,5.69,5.73,3.61
0.6,"Ideal","F","VS2",62.3,56,2652,5.37,5.41,3.36
0.78,"Ideal","I","VS2",61.2,58,2652,5.88,5.92,3.61
